Segmento,CNPJ,Nome,NOME_SEM_PRUDENCIAL
S1,60746948,BRADESCO - PRUDENCIAL,BRADESCO
S1,30306294,BTG PACTUAL - PRUDENCIAL,BTG PACTUAL
S1,360305,CAIXA ECONOMICA FEDERAL - PRUDENCIAL,CAIXA ECONOMICA FEDERAL
S2,7237373,BANCO DO NORDESTE DO BRASIL S.A. - PRUDENCIAL,BANCO DO NORDESTE DO BRASIL S.A.
S2,33657248,BNDES - PRUDENCIAL,BNDES
S2,33479023,CITIBANK - PRUDENCIAL,CITIBANK
S2,33987793,CREDIT SUISSE - PRUDENCIAL,CREDIT SUISSE
S3,28195667,ABC-BRASIL - PRUDENCIAL,ABC-BRASIL
S3,60770336,ALFA - PRUDENCIAL,ALFA
S3,2992446,BANCO CNH INDUSTRIAL CAPITAL S.A - PRUDENCIAL,BANCO CNH INDUSTRIAL CAPITAL S.A
S3,2038232,BANCOOB - PRUDENCIAL,BANCOOB
S3,31597552,BANCO CLASSICO S.A. - PRUDENCIAL,BANCO CLASSICO S.A.
S3,8357240,BANCO CSF S.A. - PRUDENCIAL,BANCO CSF S.A.
S3,4902979,BANCO DA AMAZONIA S.A. - PRUDENCIAL,BANCO DA AMAZONIA S.A.
S3,62232889,BANCO DAYCOVAL S.A - PRUDENCIAL,BANCO DAYCOVAL S.A
S3,38486817,BANCO DES. DE MG S.A. - PRUDENCIAL,BANCO DES. DE MG S.A.
S3,1023570,BANCO RABOBANK INTL BRASIL S.A. - PRUDENCIAL,BANCO RABOBANK INTL BRASIL S.A.
S3,60518222,BANCO SUMITOMO MITSUI BRASIL S.A. - PRUDENCIAL,BANCO SUMITOMO MITSUI BRASIL S.A.
S3,60498557,BANCO TOKYO-MITSUBISHI BM S.A. - PRUDENCIAL,BANCO TOKYO-MITSUBISHI BM S.A.
S3,92816560,BD REGIONAL DO EXTREMO SUL - PRUDENCIAL,BD REGIONAL DO EXTREMO SUL
S3,61186680,BMG - PRUDENCIAL,BMG
S3,1522368,BNP PARIBAS - PRUDENCIAL,BNP PARIBAS
S3,62073200,BOFA MERRILL LYNCH - PRUDENCIAL,BOFA MERRILL LYNCH
S3,75647891,CREDIT AGRICOLE - PRUDENCIAL,CREDIT AGRICOLE
S3,62331228,DEUTSCHE - PRUDENCIAL,DEUTSCHE
S3,4332281,GOLDMAN SACHS - PRUDENCIAL,GOLDMAN SACHS
S3,34111187,HAITONG - PRUDENCIAL,HAITONG
S3,49336860,ING - PRUDENCIAL,ING
S3,33172537,JP MORGAN CHASE - PRUDENCIAL,JP MORGAN CHASE
S3,60814191,MERCEDES-BENZ - PRUDENCIAL,MERCEDES-BENZ
S3,2801938,MORGAN STANLEY - PRUDENCIAL,MORGAN STANLEY
S3,62144175,PINE - PRUDENCIAL,PINE
S3,1181521,SICREDI - PRUDENCIAL,SICREDI
S3,61533584,SOCIETE GENERALE - PRUDENCIAL,SOCIETE GENERALE
S4,10664513,AGIPLAN FINANCEIRA S.A. - CFI - PRUDENCIAL,AGIPLAN FINANCEIRA S.A. - CFI
S4,48795256,ANDBANK - PRUDENCIAL,ANDBANK
S4,997185,BANCO BM&FBOVESPA - PRUDENCIAL,BANCO BM&FBOVESPA
S4,62237425,BANCO FIDIS - PRUDENCIAL,BANCO FIDIS
S4,34270520,BANCO IBM S.A. - PRUDENCIAL,BANCO IBM S.A.
S4,23903068,BANCO KOMATSU DO BRASIL - PRUDENCIAL,BANCO KOMATSU DO BRASIL
S4,7441209,BANCO MONEO S.A. - PRUDENCIAL,BANCO MONEO S.A.
S4,40429946,BANCO PORTO REAL DE INVEST.S.A - PRUDENCIAL,BANCO PORTO REAL DE INVEST.S.A
S4,517645,BANCO RIBEIR�O PRETO - PRUDENCIAL,BANCO RIBEIR�O PRETO
S4,795423,BANCO SEMEAR - PRUDENCIAL,BANCO SEMEAR
S4,7679404,BANCO TOP�ZIO S.A. - PRUDENCIAL,BANCO TOP�ZIO S.A.
S4,9526594,BANCO VIPAL - PRUDENCIAL,BANCO VIPAL
S4,33884941,BANIF - PRUDENCIAL,BANIF
S4,61146577,BARCLAYS - PRUDENCIAL,BARCLAYS
S4,15114366,BBM - PRUDENCIAL,BBM
S4,45283173,BBVA BRASIL BI S.A. - PRUDENCIAL,BBVA BRASIL BI S.A.
S4,92874270,BANCO A.J. RENNER S.A. - PRUDENCIAL,BANCO A.J. RENNER S.A.
S4,3532415,BANCO ABN AMRO S.A. - PRUDENCIAL,BANCO ABN AMRO S.A.
S4,54403563,BANCO ARBI S.A. - PRUDENCIAL,BANCO ARBI S.A.
S4,15173776,BANCO CAPITAL S.A. - PRUDENCIAL,BANCO CAPITAL S.A.
S4,3609817,BANCO CARGILL S.A. - PRUDENCIAL,BANCO CARGILL S.A.
S4,2658435,BANCO CATERPILLAR S.A. - PRUDENCIAL,BANCO CATERPILLAR S.A.
S4,33132044,BANCO CEDULA S.A. - PRUDENCIAL,BANCO CEDULA S.A.
S4,10690848,BANCO DA CHINA BRASIL S.A. - PRUDENCIAL,BANCO DA CHINA BRASIL S.A.
S4,5040481,BANCO DE LAGE LANDEN BRASIL S.A. - PRUDENCIAL,BANCO DE LAGE LANDEN BRASIL S.A.
S4,28145829,BANCO DES. DO ES S.A. - PRUDENCIAL,BANCO DES. DO ES S.A.
S4,13009717,BANCO DO EST. DE SE S.A. - PRUDENCIAL,BANCO DO EST. DE SE S.A.
S4,4913711,BANCO DO EST. DO PA S.A. - PRUDENCIAL,BANCO DO EST. DO PA S.A.
S4,61348538,BANCO FICSA S.A. - PRUDENCIAL,BANCO FICSA S.A.
S4,90731688,BANCO FORD S.A. - PRUDENCIAL,BANCO FORD S.A.
S4,31880826,BANCO GUANABARA S.A. - PRUDENCIAL,BANCO GUANABARA S.A.
